,NUM_COMMANDE,QUANTITE,PRIX_UNITAIRE,MONTANT,DATE_COMMANDE,STATUT,TRIMESTRE,MOIS,ANNEE,TYPE_PRODUIT,CODE_PRODUIT,CLIENT,TELEPHONE,ADRESSE_1,ADRESSE_2,VILLE,ETAT,CODE_POSTAL,PAYS,ZONE_GEOGRAPHIQUE,NOM_CONTACT,PRENOM_CONTACT
0,10107,30,95.7,2871.0,2/24/2003 0:00,Envoyé,1,2,2003,Motos,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,United States,,Yu,Kwai
1,10121,34,81.32,2764.87,2003/07/05,Envoyé,2,5,2003,Motos,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul
2,10134,41,94.74,3884.33,2003/01/07,Envoyé,3,7,2003,Motos,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel
3,10145,45,83.24,3745.8,8/25/2003 0:00,Envoyé,3,8,2003,Motos,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,Young,Julie
4,10159,49,106.23,5205.27,2003/10/10,Envoyé,4,10,2003,Motos,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,United States,,Brown,Julie
5,10168,36,96.66,3479.76,10/28/2003 0:00,Envoyé,4,10,2003,Motos,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri
6,10180,29,86.13,2497.77,2003/11/11,Envoyé,4,11,2003,Motos,S10_1678,Daedalus Designs Imports,20.16.1555,"184, chaussée de Tournai",,Lille,,59000,France,EMEA,Rancé,Martine
7,10188,48,114.83,5511.84,11/18/2003 0:00,Envoyé,4,11,2003,Motos,S10_1678,Herkku Gifts,4722673215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel
8,10201,22,98.57,2168.54,2003/01/12,Envoyé,4,12,2003,Motos,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,United States,,Murphy,Julie
9,10211,41,114.83,4708.03,1/15/2004 0:00,Envoyé,1,1,2004,Motos,S10_1678,Auto Canal+ Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique
10,10223,37,107.17,3965.29,2/20/2004 0:00,Envoyé,1,2,2004,Motos,S10_1678,"Australian Collectors, Co.",395204555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter
11,10237,23,101.43,2332.89,2004/05/04,Envoyé,2,4,2004,Motos,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,Frick,Michael
12,10251,28,113.87,3188.36,5/18/2004 0:00,Envoyé,2,5,2004,Motos,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William
13,10263,34,108.14,3676.76,6/28/2004 0:00,Envoyé,2,6,2004,Motos,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,United States,,King,Julie
14,10275,45,92.83,4177.35,7/23/2004 0:00,Envoyé,3,7,2004,Motos,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine
15,10285,36,113.88,4099.68,8/27/2004 0:00,Envoyé,3,8,2004,Motos,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta
16,10299,23,112.92,2597.16,9/30/2004 0:00,Envoyé,3,9,2004,Motos,S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti
17,10309,41,107.17,4393.97,10/15/2004 0:00,Envoyé,4,10,2004,Motos,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas
18,10318,46,94.73,4357.58,2004/02/11,Envoyé,4,11,2004,Motos,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung
19,10329,42,104.67,4396.14,11/15/2004 0:00,Envoyé,4,11,2004,Motos,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,United States,,Yu,Kwai
20,10341,41,188.73,7737.92,11/24/2004 0:00,Envoyé,4,11,2004,Motos,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg
21,10361,20,72.55,1451.0,12/17/2004 0:00,Envoyé,4,12,2004,Motos,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian
22,10375,21,34.9,732.9,2005/03/02,Envoyé,1,2,2005,Motos,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine
23,10388,42,76.35,3206.7,2005/03/03,Envoyé,1,3,2005,Motos,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,,Benitez,Violeta
24,10403,24,101.44,2434.56,2005/08/04,Envoyé,2,4,2005,Motos,S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth
25,10417,66,113.87,7515.42,5/13/2005 0:00,Contesté,2,5,2005,Motos,S10_1678,Euro+ Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego
26,10103,26,207.87,5404.62,1/29/2003 0:00,Envoyé,1,1,2003,Voitures classiques,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas
27,10112,29,248.58,7208.82,3/24/2003 0:00,Envoyé,1,3,2003,Voitures classiques,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Berguvsvägen  8,,Luleå,,S-958 22,Sweden,EMEA,Berglund,Christina
28,10126,38,192.86,7328.68,5/28/2003 0:00,Envoyé,2,5,2003,Voitures classiques,S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Martín
29,10140,37,199.29,7373.73,7/24/2003 0:00,Envoyé,3,7,2003,Voitures classiques,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri
30,10150,45,244.3,10993.5,9/19/2003 0:00,Envoyé,3,9,2003,Voitures classiques,S10_1949,"Dragon Souveniers, Ltd.",652217555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric
31,10163,21,231.44,4860.24,10/20/2003 0:00,Envoyé,4,10,2003,Voitures classiques,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,United States,,Hernandez,Maria
32,10174,34,235.72,8014.48,2003/06/11,Envoyé,4,11,2003,Voitures classiques,S10_1949,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony
33,10183,23,233.58,5372.34,11/13/2003 0:00,Envoyé,4,11,2003,Voitures classiques,S10_1949,"Classic Gift Ideas, Inc",2155554695,782 First Street,,Philadelphia,PA,71270,USA,,Cervantes,Francisca
34,10194,42,173.57,7289.94,11/25/2003 0:00,Envoyé,4,11,2003,Voitures classiques,S10_1949,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary
35,10206,47,192.86,9064.42,2003/05/12,Envoyé,4,12,2003,Voitures classiques,S10_1949,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,,Tannamuri,Yoshi
36,10215,35,173.57,6074.95,1/29/2004 0:00,Envoyé,1,1,2004,Voitures classiques,S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle,,Burbank,CA,94019,United States,,Thompson,Steve
37,10228,29,222.86,6462.94,2004/10/03,Envoyé,1,3,2004,Voitures classiques,S10_1949,Cambridge Collectables Co.,6175555555,4658 Baden Av.,,Cambridge,MA,51247,USA,,Tseng,Kyung
38,10245,34,180.0,6120.0,2004/04/05,Envoyé,2,5,2004,Voitures classiques,S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,,New Haven,CT,97823,United States,,Murphy,Leslie
39,10258,32,240.02,7680.64,6/15/2004 0:00,Envoyé,2,6,2004,Voitures classiques,S10_1949,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko
40,10270,21,233.59,4905.39,7/19/2004 0:00,Envoyé,3,7,2004,Voitures classiques,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian
41,10280,34,235.72,8014.48,8/17/2004 0:00,Envoyé,3,8,2004,Voitures classiques,S10_1949,Amica Models & Co.,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo
42,10291,37,192.86,7135.82,2004/08/09,Envoyé,3,9,2004,Voitures classiques,S10_1949,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,,Bräcke,,S-844 67,Sweden,EMEA,Larsson,Maria
43,10304,47,216.44,10172.68,2004/11/10,Envoyé,4,10,2004,Voitures classiques,S10_1949,Auto Associés & Cie.,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,France,EMEA,Tonini,Daniel
44,10312,48,242.16,11623.68,10/21/2004 0:00,Envoyé,4,10,2004,Voitures classiques,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie
45,10322,40,150.0,6000.0,2004/04/11,Envoyé,4,11,2004,Voitures classiques,S10_1949,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,,Young,Valarie
46,10333,26,115.5,3003.0,11/18/2004 0:00,Envoyé,4,11,2004,Voitures classiques,S10_1949,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,United States,,Murphy,Julie
47,10347,30,131.46,3943.8,11/29/2004 0:00,Envoyé,4,11,2004,Voitures classiques,S10_1949,"Australian Collectors, Co.",395204555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter
48,10357,32,177.86,5691.52,2004/10/12,Envoyé,4,12,2004,Voitures classiques,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,United States,,Nelson,Valarie
49,10369,41,110.11,4514.51,1/20/2005 0:00,Envoyé,1,1,2005,Voitures classiques,S10_1949,Collectables For Less Inc.,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,,Nelson,Allen
50,10381,36,229.27,8253.72,2/17/2005 0:00,Envoyé,1,2,2005,Voitures classiques,S10_1949,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie
51,10391,24,100.69,2416.56,2005/09/03,Envoyé,1,3,2005,Voitures classiques,S10_1949,"Anna's Decorations, Ltd",299368555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna
52,10411,23,180.0,4140.0,2005/01/05,Envoyé,2,5,2005,Voitures classiques,S10_1949,Québec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,,Montréal,Québec,H1J 1C3,Canada,,Fresnière,Jean
53,10424,50,240.02,12001.0,5/31/2005 0:00,En cours,2,5,2005,Voitures classiques,S10_1949,Euro+ Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego
54,10107,39,99.9,3896.1,2/24/2003 0:00,Envoyé,1,2,2003,Motos,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai
55,10120,29,96.34,2793.86,4/29/2003 0:00,Envoyé,2,4,2003,Motos,S10_2016,"Australian Collectors, Co.",395204555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter
56,10134,27,122.51,3307.77,2003/01/07,Envoyé,3,7,2003,Motos,S10_2016,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel
57,10145,37,140.35,5192.95,8/25/2003 0:00,Envoyé,3,8,2003,Motos,S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,Young,Julie
58,10159,37,135.59,5016.83,2003/10/10,Envoyé,4,10,2003,Motos,S10_2016,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie
59,10168,27,135.58,3660.66,10/28/2003 0:00,Envoyé,4,10,2003,Motos,S10_2016,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri
60,10180,42,111.78,4694.76,2003/11/11,Envoyé,4,11,2003,Motos,S10_2016,Daedalus Designs Imports,20.16.1555,"184, chaussée de Tournai",,Lille,,59000,France,EMEA,Rancé,Martine
61,10188,38,96.33,3660.54,11/18/2003 0:00,Envoyé,4,11,2003,Motos,S10_2016,Herkku Gifts,4722673215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel
62,10201,24,126.07,3025.68,2003/01/12,Envoyé,4,12,2003,Motos,S10_2016,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie
63,10210,23,130.82,3008.85,2004/12/01,Envoyé,1,1,2004,Motos,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory
64,10223,47,115.37,5422.39,2/20/2004 0:00,Envoyé,1,2,2004,Motos,S10_2016,"Australian Collectors, Co.",395204555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter
65,10236,22,129.63,2851.85,2004/03/04,Envoyé,2,4,2004,Motos,S10_2016,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,,Hernandez,Rosa
66,10251,44,130.83,5756.52,5/18/2004 0:00,Envoyé,2,5,2004,Motos,S10_2016,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William
67,10263,40,111.8,4472.0,6/28/2004 0:00,Envoyé,2,6,2004,Motos,S10_2016,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,King,Julie
68,10275,22,132.01,2904.22,7/23/2004 0:00,Envoyé,3,7,2004,Motos,S10_2016,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine
69,10285,47,137.96,6484.12,8/27/2004 0:00,Envoyé,3,8,2004,Motos,S10_2016,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta
70,10298,39,96.34,3757.26,9/27/2004 0:00,Envoyé,3,9,2004,Motos,S10_2016,Atelier graphique,40.32.2555,"54, rue Royale",,Nantes,,44000,France,EMEA,Schmitt,Carine
71,10308,34,118.93,4043.62,10/15/2004 0:00,Envoyé,4,10,2004,Motos,S10_2016,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,,Frick,Steve
72,10318,45,123.68,5565.6,2004/02/11,Envoyé,4,11,2004,Motos,S10_2016,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung
73,10329,20,158.8,3176.0,11/15/2004 0:00,Envoyé,4,11,2004,Motos,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai
74,10339,40,68.9,2756.0,11/23/2004 0:00,Envoyé,4,11,2004,Motos,S10_2016,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko
75,10361,26,51.15,1329.9,12/17/2004 0:00,Envoyé,4,12,2004,Motos,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian
76,10374,39,135.58,5287.62,2005/02/02,Envoyé,1,2,2005,Motos,S10_2016,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony
77,10388,50,44.5,2225.0,2005/03/03,Envoyé,1,3,2005,Motos,S10_2016,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,,Benitez,Violeta
78,10402,45,129.62,5832.9,2005/07/04,Envoyé,2,4,2005,Motos,S10_2016,Auto Canal+ Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique
79,10417,45,130.83,5887.35,5/13/2005 0:00,Contesté,2,5,2005,Motos,S10_2016,Euro+ Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego
80,10107,27,224.64,6065.28,2/24/2003 0:00,Envoyé,1,2,2003,Motos,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai
81,10120,46,201.41,9264.86,4/29/2003 0:00,Envoyé,2,4,2003,Motos,S10_4698,"Australian Collectors, Co.",395204555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter
82,10134,31,226.57,7023.67,2003/01/07,Envoyé,3,7,2003,Motos,S10_4698,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel
83,10145,33,156.85,5176.05,8/25/2003 0:00,Envoyé,3,8,2003,Motos,S10_4698,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,Young,Julie
